cai,coop_degree,order_degree,numsim,numrounds,R,S,T,P,tolerance,num_defectors,num_cooperators,num_neutral,max_positive_pressure,max_negative_pressure,adv_mutation_rate,move_mutation_rate,weight_of_present_for_adv,weight_of_present_for_move,adv_reassess_frequency,move_reassess_frequency,move_increment
0.048896990048377185,0.01498965427767342,0.9153381693236614,1,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04767604926112257,0.01109017926682332,0.9113321773356454,2,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0515364976960273,0.018078717381143458,0.9235421529156942,3,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05125719792193174,0.01838084762155594,0.9202661594676811,4,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03811771780618689,0.00437755897300798,0.9149961700076601,5,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.035924811175309435,0.007925652789092312,0.9403121193757613,6,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04716522385492312,0.008455429351096494,0.9150161699676601,7,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.044192788188588274,0.010247666551975789,0.9219481561036879,8,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05178329279717058,0.01422968511991709,0.9081921836156328,9,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04153514011050043,0.0051404920752585685,0.9111861776276448,10,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.035814983676491406,0.009299187294282514,0.9334101331797336,11,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05539511306111451,0.023982911817491164,0.93001013997972,12,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03872670682891739,0.00623433242506812,0.9232181535636929,13,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04656141201861986,0.009254222446298975,0.9128201743596512,14,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04567257282188451,0.013093096506394633,0.9269641460717079,15,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04081101989270224,0.007184974457535517,0.9254621490757019,16,500000,3.0,0.0,4.0,1.0,0.05,8,8,0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
