cai,coop_degree,order_degree,numsim,numrounds,R,S,T,P,tolerance,influence_type,interaction_type,dims,numagents,pr_defector,pr_cooperator,pr_neutral,max_positive_pressure,max_negative_pressure,adv_mutation_rate,move_mutation_rate,weight_of_present_for_adv,weight_of_present_for_move,adv_reassess_frequency,move_reassess_frequency,move_increment
0.5709462482354742,1.3602485487695202,0.8660442679114642,1,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5233414922544379,1.088960768360685,0.8421503156993686,2,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5526712963310959,1.2861524650258098,0.8556502886994226,3,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5354907288444043,1.1741992864879904,0.8751482497035006,4,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.47272513991552034,0.8941331411231834,0.8514262971474057,5,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5537249061077462,1.2671257359125316,0.8625942748114503,6,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4378144495801671,0.7553832730300022,0.8771562456875086,7,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.6127901130333785,1.6630545663341663,0.8719302561394877,8,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4379237129524974,0.7456516228217227,0.8538802922394155,9,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.505392817907486,1.021298647712704,0.8229943540112921,10,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.47251582170975287,0.8648955525455854,0.8343563312873374,11,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5746506392451741,1.4118395818129361,0.8526462947074106,12,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4581131704679971,0.8416592966940408,0.8746022507954985,13,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.42198040312988555,0.7061235250962891,0.893024213951572,14,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4451773022780657,0.7809131514063135,0.8508722982554036,15,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.43937447644235594,0.7555589212909142,0.857736284527431,16,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5121418586807679,1.049622707275485,0.8702762594474811,17,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5474751242098753,1.2547831581854,0.8492263015473969,18,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5124527805471406,1.0431669785024247,0.8561342877314246,19,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.47529029609713563,0.8948094238229118,0.8518742962514074,20,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.36955090060390766,0.5583598700447393,0.8701022597954804,21,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4779519628478661,0.9056614769421122,0.8501862996274008,22,500000,0.0,0.0,0.0,0.0,0.05,global,global,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
