cai,coop_degree,order_degree,numsim,numrounds,R,S,T,P,tolerance,influence_type,interaction_type,dims,numagents,pr_defector,pr_cooperator,pr_neutral,max_positive_pressure,max_negative_pressure,adv_mutation_rate,move_mutation_rate,weight_of_present_for_adv,weight_of_present_for_move,adv_reassess_frequency,move_reassess_frequency,move_increment
0.4703683961950904,0.6014482217116933,0.2202755594488811,1,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49375014033648645,0.9657467077612777,0.224503550992898,2,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5179220743026061,1.3174277559757401,0.20786358427283147,3,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5170606510902424,1.1468937303776994,0.22565954868090266,4,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.47961962826595234,0.9153383278871443,0.19225361549276904,5,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.512954686548343,1.3153212718639178,0.23111953776092448,6,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5018272563290896,0.9514683415379391,0.22992154015691968,7,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.504180275794518,1.2283324785987615,0.2259435481129038,8,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4855350772263436,0.8016114026926925,0.2052715894568211,9,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.497216346314991,0.8935401789378643,0.23068953862092276,10,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5067548105722025,1.2373058223645204,0.1886716226567547,11,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5092682889914767,1.1630325079216055,0.18431163137673726,12,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49160912610631996,0.9264671983772071,0.1671476657046686,13,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4828478811740816,0.7519983440017833,0.22005755988488024,14,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4682552831486043,0.6492598559226724,0.21703556592886813,15,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5118342657720842,1.1961719333714234,0.1998776002447995,16,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4992565899285457,0.8958159990490906,0.19139361721276557,17,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49003850188751324,0.8297227356746766,0.1979756040487919,18,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4858846207500239,0.8323313181384288,0.21882756234487533,19,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4867588252741062,0.8448218272594624,0.20987758024483952,20,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.48801165941830854,0.8204943080694449,0.21684956630086738,21,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5206532653692534,1.4272077028885835,0.17645764708470585,22,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.47877491509327497,0.6373635006677665,0.2084195831608337,23,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49033430279130646,0.7848565928149575,0.2188015623968752,24,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5030710071816367,0.979222224353932,0.20632558734882528,25,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5170476781174387,1.3570141183538602,0.18831562336875327,26,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5105860870046622,1.1180686159998416,0.21397957204085594,27,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49159893958821743,0.8805603977015947,0.2330235339529321,28,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49292766613546135,0.8514081168990373,0.22654154691690614,29,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49219700728379684,0.8992311558724426,0.20404159191681617,30,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49048844257443436,0.9786268679769857,0.20496159007681986,31,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49980456461093764,0.8411622181406072,0.18845362309275382,32,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.48736218093736483,0.8002207702031442,0.2022255955488089,33,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4884450829316354,0.839397032268195,0.23428353143293712,34,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.46663622993903536,0.6263566158132815,0.18911562176875646,35,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.47165186128381104,0.6405025689213562,0.21648356703286592,36,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49653424406174856,0.8819822994175803,0.1815996368007264,37,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4818972552999453,0.7115759941449135,0.224503550992898,38,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.48857703498028743,0.8057187045458729,0.19614760770478457,39,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5041071067709177,1.2054978531507112,0.18388963222073557,40,500000,0.0,0.0,0.0,0.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
