cai,coop_degree,order_degree,numsim,numrounds,R,S,T,P,tolerance,influence_type,interaction_type,dims,numagents,pr_defector,pr_cooperator,pr_neutral,max_positive_pressure,max_negative_pressure,adv_mutation_rate,move_mutation_rate,weight_of_present_for_adv,weight_of_present_for_move,adv_reassess_frequency,move_reassess_frequency,move_increment
0.503086594225421,1.1043737981260997,0.20573158853682294,1,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5012290534040341,1.1323136459964986,0.18513562972874054,2,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5004939139261235,1.0500031607560527,0.1945736108527783,3,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.49629658613160377,0.8963194611498677,0.18919162161675676,4,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5026916337175537,1.1424485755142448,0.15581568836862325,5,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4953646326374477,0.8263044718479836,0.16646366707266586,6,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5016583955016852,1.1721790083974664,0.21055757888484222,7,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5153154357533759,1.308704518621874,0.2151015697968604,8,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.48800646895328087,0.8514532804473633,0.22778754442491117,9,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4816989392142841,0.8318414747770531,0.2202015595968808,10,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4766102931164698,0.7256364215586898,0.23833752332495334,11,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4875396917452803,0.6564768819258693,0.2080795838408323,12,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4946852454149188,1.0489288988913896,0.1966476067047866,13,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.4766668877330197,0.8574914281157804,0.2329475341049318,14,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.5104586117867733,1.1642525664463508,0.18467963064073872,15,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(5, 5)",25,0.5,0.5,0.0,6.0,6.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
