cai,coop_degree,order_degree,numsim,numrounds,R,S,T,P,tolerance,num_defectors,num_cooperators,num_neutral,max_positive_pressure,max_negative_pressure,adv_mutation_rate,move_mutation_rate,weight_of_present_for_adv,weight_of_present_for_move,adv_reassess_frequency,move_reassess_frequency,move_increment
0.0460546622911474,0.0017839838883257344,0.8973442053115894,1,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04366695062907634,0.0035154089511294,0.9071961856076288,2,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05276810166567445,0.002836029649607967,0.8804762390475218,3,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03967736847954624,0.0007955379357002608,0.908282183435633,4,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.042261688832905785,0.0016998055157585218,0.9075241849516301,5,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04356740412030494,0.00019946764302384082,0.9025801948396103,6,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04965155662546556,0.0009079964673968284,0.886268227463545,7,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04928396053011898,0.004158682086398742,0.8991982016035969,8,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.043016202243137035,0.0007028000800658318,0.8998902002195995,9,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03753466925169807,0.002234072116110483,0.9160661678676643,10,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.062075494161683356,0.0021042532334353786,0.8648282703434593,11,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0350108785309422,9.571938556856226e-5,0.9194401611196777,12,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0502122112526979,0.0022309648866511295,0.88499423001154,13,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04363982213416819,0.0027994450028016684,0.9019801960396079,14,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03955628609795649,0.0012748765787587977,0.9110501778996442,15,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.034938552453299535,0.0014199011263971743,0.9253181493637013,16,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.041734298962902976,0.002015955224573433,0.9066041867916264,17,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04728351014956818,0.001405336236796911,0.8921402157195686,18,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.037828382702404996,0.0014330691089373192,0.9154301691396617,19,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.043356587318971095,0.0007109136351013607,0.9008881982236036,20,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04769490039938352,0.0012772336463676146,0.8936922126155749,21,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04691649379695323,0.0013741727033440437,0.8963122073755853,22,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04047690418433824,0.0016485538788401056,0.9089561820876358,23,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03931170475070217,0.0016248018134884757,0.9172901654196691,24,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04433054427495483,0.002276378622067744,0.9008401983196033,25,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.042383972091035914,0.0034702690731923374,0.906232187535625,26,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05022311138210611,0.0038963830816359435,0.8966142067715864,27,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03980063407832343,0.00039664963276854834,0.9079601840796319,28,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03669628926504034,0.0023172245573534855,0.9204661590676818,29,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04841372447625826,0.001621854999451925,0.8954862090275819,30,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03743085706567839,0.0005560310764455166,0.9141241717516565,31,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04889676431299882,0.0016843205072777055,0.8896862206275588,32,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03709520788614504,0.0014452594403694648,0.9215781568436863,33,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04763419679588942,0.0034830291636711126,0.8988902022195956,34,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.046363280403201895,0.0022018044493025005,0.8948682102635794,35,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.047568369933684886,0.0027235184481720657,0.902756194487611,36,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04253020598456941,0.0008223464284759179,0.8981682036635926,37,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04071953656469459,0.0009018188891271145,0.9056521886956226,38,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.041219324849089196,0.0007869594627454275,0.9054581890836217,39,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0426989262153392,0.004242986218534664,0.9140681718636563,40,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03746672654191096,0.00011203005041352269,0.9105701788596423,41,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.049755428695602656,0.0035333703453127776,0.8929442141115718,42,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.03317717864361305,0.0005391792781926884,0.9241221517556965,43,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04533324718708765,0.002606394354148845,0.9001301997396005,44,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04503011611019284,0.0006711618904913529,0.8975522048955902,45,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.051202072431589175,0.002312328742448907,0.8903342193315613,46,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.048013338479132125,0.006245641155488035,0.9060901878196244,47,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0367539260666681,0.001696658434488677,0.9174701650596698,48,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.04495492538233705,0.002438590641324886,0.9018921962156076,49,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0573134053971871,0.004318615855131518,0.8813842372315256,50,500000,1.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.07507347377076029,0.006022208823710933,0.8476203047593905,1,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0523233539077366,0.002479786801571887,0.887754224491551,2,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.06555322688588006,0.0064163292421339745,0.860490279019442,3,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.06154359642884939,0.004017302471124201,0.8727302545394909,4,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0529275321142359,0.0030822142229272446,0.8878042243915513,5,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.06153778447786054,0.006757788461093555,0.8703242593514813,6,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05374595113883794,0.005123794784984423,0.8858922282155435,7,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.07946310733773845,0.00890834713817235,0.8355883288233424,8,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.07434644999454454,0.005288282880256125,0.8440303119393762,9,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
